'uiIndex, szWeaponName, ubWeaponClass, ubWeaponType, ubCalibre, ubReadyTime, ubShotsPer4Turns, ubShotsPerBurst, ubBurstPenalty, ubBulletSpeed, ubImpact, ubDeadliness, bAccuracy, ubMagSize, usRange, usReloadDelay, BurstAniDelay, ubAttackVolume, ubHitVolume, sSound, sBurstSound, sSilencedBurstSound, sReloadSound, sLocknLoadSound, SilencedSound, bBurstAP, bAutofireShotsPerFiveAP, APsToReload, SwapClips, MaxDistForMessyDeath, AutoPenalty, NoSemiAuto, EasyUnjam, APsToReloadManually, ManualReloadSound, nAccuracy, bRecoilX, bRecoilY, ubAimLevels, ubRecoilDelay, Handling, usOverheatingJamThreshold, usOverheatingDamageThreshold, usOverheatingSingleShotTemperature, HeavyGun'
905, HK AG36 Grenade Launcher,3,NULL,NULL,4, 7.31,NULL,0,30,NULL,55,0,1,300,200,100,40,10,401,NULL,127,NULL,NULL,157,NULL,NULL,16,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,16,4000,5000,40,NULL, 
906, Milkor MGL-140 Grenade Launcher,3,NULL,NULL,8, 8.78,NULL,0,30,NULL,75,0,6,400,200,100,40,10,404,NULL,127,NULL,NULL,157,NULL,NULL,24,1,8,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,15,4000,5000,40,NULL, 
907, RGM Kastet Grenade Launcher,3,NULL,NULL,3, 6.75,NULL,0,30,NULL,50,0,1,350,200,100,40,10,406,NULL,127,NULL,NULL,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,5,4000,5000,40,NULL, 
908, XM-25 Grenade Launcher,3,4,50,21, 15.15,NULL,0,30,1,65,7,6,400,200,100,40,10,446,NULL,127,102,108,157,NULL,NULL,58,1,9,0,NULL,NULL,NULL,476,71,NULL,NULL,5,NULL,12,4000,5000,90,NULL, 
909, AICW Grenade Launcher,3,NULL,NULL,3,6,3,0,30,NULL,65,0,3,300,200,50,40,10,407,74,127,NULL,NULL,157,15,3,100,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,40,NULL, 
910, F2000 Grenade Launcher,3,NULL,NULL,NULL,6,NULL,0,30,NULL,50,0,1,300,200,100,40,10,469,NULL,127,NULL,NULL,157,NULL,NULL,32,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,12,4000,5000,40,NULL, 
911, GP-25 Kostyor Grenade Launcher (Built-in),3,NULL,NULL,NULL,6,NULL,0,30,NULL,50,0,1,300,200,100,40,10,405,NULL,127,NULL,NULL,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,3,4000,5000,40,NULL, 
912, OICW Grenade Launcher,3,4,51,NULL, 11.28,NULL,0,30,1,55,7,6,350,200,100,40,10,397,NULL,127,102,108,157,20,NULL,24,1,7,0,NULL,NULL,NULL,476,68,NULL,NULL,NULL,NULL,11,4000,5000,80,NULL, 
913, HK 79 Grenade Launcher,3,NULL,NULL,4, 7.29,NULL,0,30,NULL,60,0,1,400,200,100,40,10,403,NULL,127,NULL,NULL,157,NULL,NULL,18,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,16,4000,5000,40,NULL, 
914, RPG-7,3,NULL,NULL,NULL,5,NULL,0,30,1,90,2,1,300,200,100,100,10,432,NULL,127,NULL,NULL,157,NULL,NULL,50,NULL,10,0,NULL,NULL,NULL,476,20,NULL,NULL,2,NULL,10,4000,5000,120,NULL, 
915," RPG-16 ""Grom""",3,NULL,NULL,NULL,5,NULL,0,30,1,100,3,1,350,200,100,100,10,429,NULL,127,NULL,NULL,157,NULL,NULL,32,NULL,11,0,NULL,NULL,NULL,476,30,NULL,NULL,2,NULL,11,4000,5000,120,NULL, 
916," RPG-26 ""Aglen""",3,NULL,NULL,NULL, 5.5,NULL,0,30,110,100,2,1,200,200,100,100,10,430,NULL,127,NULL,NULL,157,NULL,NULL,NULL,NULL,8,0,NULL,NULL,NULL,476,20,NULL,NULL,2,NULL,7,4000,5000,4000,NULL, 
917," RPG-27 ""Tavolga""",3,NULL,NULL,NULL, 5.5,NULL,0,30,150,110,3,1,225,200,100,100,10,431,NULL,127,NULL,NULL,157,NULL,NULL,NULL,NULL,9,0,NULL,NULL,NULL,476,30,NULL,NULL,2,NULL,9,4000,5000,4000,NULL, 
918," RPO-M ""Shmel-M""",3,NULL,NULL,NULL,5,NULL,0,30,1,120,4,1,550,200,100,100,10,428,NULL,127,NULL,NULL,157,NULL,NULL,75,NULL,10,0,NULL,NULL,NULL,476,45,NULL,NULL,2,NULL,10,4000,5000,120,NULL, 
920, Colt Launcher System,3,NULL,NULL,7, 6.84,NULL,0,30,NULL,35,0,1,350,200,100,20,10,402,NULL,127,NULL,NULL,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,7,4000,5000,40,NULL, 
921, FN EGLM Grenade Launcher,3,NULL,NULL,3, 12.5,NULL,0,30,NULL,35,0,1,350,200,100,40,10,402,NULL,127,NULL,NULL,157,NULL,NULL,16,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,1,4000,5000,40,NULL, 
922, KAC Launcher System,3,NULL,NULL,8, 6.8,NULL,0,30,NULL,35,0,1,360,200,100,40,10,402,NULL,127,NULL,NULL,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,1,4000,5000,40,NULL, 
1015, Shovel,6,NULL,NULL,NULL,9,NULL,0,NULL,24,4,0,NULL,NULL,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
1053, Shuriken,6,NULL,NULL,NULL,20,NULL,0,NULL,15,4,0,NULL,200,200,NULL,2,NULL,152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
1054, Nunchaku,6,NULL,NULL,NULL,20,NULL,0,NULL,26,8,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
1055, Katana,6,NULL,NULL,NULL, 14.6,NULL,0,NULL,28,9,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
1064, SIG P239 SAS,1,1,2,5, 28.45,NULL,0,21,24,13,0,8,90,200,100,55,3,367,1,111,100,106,156,NULL,NULL,23,1,6,0,NULL,NULL,NULL,476,5,NULL,NULL,3,NULL,8,3500,4000,70,NULL, 
1065, Steyr AUG-A3,3,6,42,13, 13.96,NULL,14,22,39,32,7,26,420,200,40,75,7,494,120,127,102,108,157,NULL,3,50,1,8,14,NULL,NULL,NULL,476,73,3,14,4,NULL,9,4200,5300,70,NULL, 
1066," HK 416 10""",2,6,8,11, 15.15,NULL,10,22,27,30,6,30,305,200,33,80,7,334,110,127,102,108,499,15,3,29,1,7,10,NULL,NULL,NULL,476,61, 1.5, 9.5,4,NULL,9,3900,4900,70,NULL, 
1067, Beretta M12,2,3,2,8, 15.82,NULL,7,22,26,18,2,30,160,200,63,50,3,374,60,111,101,107,156,NULL,2,30,1,7,7,NULL,NULL,NULL,476,19,4,6,4,NULL,8,4000,5000,70,NULL, 
1069, Galil Sniper,3,4,9,19, 12.07,NULL,0,22,43,47,8,20,595,200,100,85,8,317,NULL,NULL,102,108,157,NULL,NULL,30,1,13,0,NULL,NULL,NULL,476,79,NULL,NULL,4,NULL,11,7000,6000,140,NULL, 
1070," HK 416 16""",3,6,8,15, 13.96,NULL,9,22,30,30,7,30,355,200,33,70,7,334,110,127,102,108,499,15,3,29,1,7,9,NULL,NULL,NULL,476,68, 1.5, 8.5,4,NULL,11,3900,4900,70,NULL, 
1071, Owen .45,2,3,3,10, 15.15,NULL,8,22,22,21,2,30,150,200,43,40,3,415,76,111,101,107,157,NULL,3,30,1,7,8,1,NULL,NULL,476,17, 4.5,7,4,NULL,11,4000,5000,75,NULL, 
1072," HK 416 20""",3,6,8,17, 13.43,NULL,9,22,32,31,7,30,385,200,33,70,7,334,110,127,102,108,499,15,3,29,1,7,9,NULL,NULL,NULL,476,72, 1.5, 8.5,4,NULL,12,3900,4900,70,NULL, 
1073, HK UCP,1,1,19,4, 26.34,NULL,0,21,25,22,1,20,130,200,100,45,3,326,NULL,NULL,100,106,157,NULL,NULL,25,1,7,0,NULL,NULL,NULL,476,7,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
1074, HEZI SM-1,3,4,45,8, 15.15,NULL,0,22,27,23,4,30,265,200,43,55,3,155,123,111,101,107,157,NULL,NULL,52,1,7,0,NULL,NULL,NULL,476,45,NULL,NULL,4,NULL,8,4000,5000,70,NULL, 
1075, Rheinmetall MG3,4,7,9,39, 11.67,NULL,8,22,44,56,7,100,630,200,38,85,9,492,118,NULL,104,110,157,NULL,5,70,1,13,8,1,NULL,NULL,476,73,3, 7.5,5,NULL,16,4000,6500,75,NULL, 
1076, Ares M4 Shrike,3,7,8,17, 13.96,NULL,8,22,30,30,7,100,350,200,32,75,7,337,32,127,102,108,499,NULL,3,38,1,7,8,NULL,NULL,NULL,476,66, 1.5, 7.5,4,NULL,11,3900,4900,70,NULL, 
1077, HK 417,3,6,9,16, 11.67,NULL,17,23,40,38,7,20,540,200,50,85,8,347,39,127,102,108,499,17,3,28,1,7,17,NULL,NULL,NULL,476,69, 3.5, 16.5,4,NULL,11,4000,5000,70,NULL, 
1078, Beretta Cx4 Storm,3,4,3,9, 15.15,NULL,0,22,23,20,4,14,215,200,43,40,3,414,76,111,100,106,157,NULL,NULL,35,1,7,0,NULL,NULL,NULL,476,37,NULL,NULL,4,NULL,9,4000,5000,75,NULL, 
1177, Spectre M4,2,3,2,7, 15.82,NULL,9,22,25,18,1,30,130,200,63,50,3,374,60,111,101,107,156,10,4,35,1,7,9,NULL,NULL,NULL,476,10,5,7,4,NULL,10,3500,3800,70,NULL, 
1178, MAT-49,2,3,2,7, 15.82,NULL,7,22,26,19,2,30,170,200,63,50,3,370,56,111,101,107,156,14,3,30,1,7,7,1,NULL,NULL,476,21,4, 5.5,4,NULL,10,4000,5000,70,NULL, 
1179, SIG MP41/44,2,3,2,11, 15.82,NULL,6,22,26,19,2,30,185,200,63,50,3,370,56,111,101,107,156,NULL,3,29,1,7,6,1,NULL,NULL,476,25,4, 4.5,4,NULL,10,4000,5000,70,NULL, 
1187, HK MG36,3,7,8,19, 13.96,2,7,22,31,35,7,100,375,200,40,75,7,482,107,127,102,108,499,7,3,31,1,7,7,NULL,NULL,NULL,476,69,2,7,4,NULL,12,6000,7000,70,NULL, 
1188, CETME Ameli,4,7,8,33, 14.53,NULL,4,22,30,35,6,200,345,200,40,75,7,345,37,127,104,110,499,NULL,4,70,1,7,4,1,NULL,NULL,476,65, 1.5,4,5,NULL,12,4000,5000,70,NULL, 
1190, KAC PDW,2,3,47,8, 15.15,3,9,22,28,32,5,30,265,200,33,50,5,494,120,127,101,107,157,15,3,29,1,7,9,NULL,NULL,NULL,476,53, 1.5, 8.5,4,NULL,8,3800,4800,70,NULL, 
1191, Magpul PDR-D,2,3,47,7, 15.82,NULL,8,22,30,33,6,30,305,200,33,45,3,494,120,127,101,107,157,NULL,3,53,1,7,8,NULL,NULL,NULL,476,62,2,8,4,NULL,6,4000,5000,70,NULL, 
1192, Automag V,1,1,35,6, 16.55,NULL,0,21,43,19,2,7,145,200,100,75,10,420,NULL,NULL,100,106,157,NULL,NULL,24,1,7,0,NULL,NULL,NULL,476,20,NULL,NULL,3,NULL,13,3700,4200,80,NULL, 
1193, M1 Carbine,3,4,45,10, 14.53,NULL,0,22,27,23,4,30,260,200,43,55,3,155,123,111,101,107,157,NULL,NULL,30,1,7,0,NULL,NULL,NULL,476,43,NULL,NULL,4,NULL,9,4000,5000,70,NULL, 
1194, Colt Python,1,1,4,5, 15.82,NULL,0,20,27,16,1,6,110,200,100,60,5,423,NULL,NULL,100,106,157,NULL,NULL,20,1,7,0,NULL,1,NULL,480,6,NULL,NULL,3,NULL,9,3500,4000,70,NULL, 
1195, FR Ordnance MC51,3,6,9,11, 12.49,NULL,21,22,37,32,6,20,400,200,50,90,7,348,40,127,102,108,499,17,3,29,1,9,21,NULL,NULL,NULL,476,60, 4.5,21,4,NULL,9,4000,4400,70,NULL, 
1201, HK SL8 RAS,3,4,8,15, 13.96,NULL,9,22,32,35,7,10,380,200,100,70,7,334,28,127,102,108,157,15,NULL,28,1,8,9,NULL,NULL,NULL,476,71,2,9,4,NULL,10,4000,5000,70,NULL, 
1202, Pipe Wrench,6,NULL,NULL,NULL,10,NULL,0,NULL,21,4,0,NULL,NULL,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
1332," AR57 16""",2,3,12,12, 16.55,NULL,4,22,25,29,5,50,290,200,33,45,3,328,20,111,102,108,157,14,3,50,1,7,4,NULL,NULL,NULL,476,50, 2.5,3,4,NULL,10,3800,4800,75,NULL, 
1333," AR57 11""",2,3,12,11, 16.55,NULL,4,22,24,29,4,50,250,200,33,45,3,328,20,111,102,108,157,14,3,50,1,7,4,NULL,NULL,NULL,476,43, 2.5,3,4,NULL,9,3700,4700,75,NULL, 
1334," AR57 6""-Silenced",2,3,12,10, 16.55,NULL,4,22,23,29,3,50,200,200,33,45,3,328,20,111,102,108,157,14,3,50,1,7,4,NULL,NULL,NULL,476,34, 2.5,3,4,NULL,8,3600,4600,75,NULL, 
1352, Hand Mortar,5,8,48,12, 7.57,NULL,0,30,50,23,0,1,100,200,100,90,30,146,NULL,NULL,103,109,157,20,NULL,20,NULL,7,0,NULL,NULL,NULL,480,NULL,NULL,NULL,NULL,NULL,11,4000,5000,1500,NULL, 
1353, Sam Garver Combat Knife,6,NULL,NULL,NULL,14,NULL,0,NULL,20,7,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
1361, MERC Umbrella,6,NULL,NULL,NULL, 10.46,NULL,0,NULL,12,5,0,NULL,NULL,200,NULL,5,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
1522, KAC Masterkey,5,8,5,9, 15.82,NULL,0,22,43,26,1,4,80,200,100,85,8,435,126,NULL,103,109,157,NULL,NULL,49,NULL,7,0,NULL,1,10,481,11,NULL,NULL,3,NULL,8,4000,5000,90,NULL, 
1579, Garotte,6,NULL,NULL,NULL,8,NULL,0,NULL,10,1,0,NULL,NULL,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
1581, Rifle Grenade Device,3,NULL,NULL,5, 5.83,NULL,0,30,NULL,60,0,1,300,200,100,20,10,403,NULL,127,NULL,NULL,157,NULL,NULL,32,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,16,4000,5000,40,NULL, 
1626, Stun Gun,6,NULL,NULL,NULL,12,NULL,0,NULL,4,NULL,0,NULL,NULL,200,NULL,5,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
1627, Pepper Spray,1,1,49,2,22,NULL,0,21,NULL,NULL,0,8,20,200,100,5,1,498,NULL,NULL,497,NULL,NULL,NULL,NULL,12,1,7,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, 
1638, Letter Opener,6,NULL,NULL,NULL,20,NULL,0,NULL,12,4,0,NULL,NULL,200,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
1639, Hedge Trimmer,6,NULL,NULL,NULL,11,NULL,0,NULL,25,6,0,NULL,NULL,200,NULL,20,NULL,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,5000,120,NULL, 
2060, RPG-2,3,NULL,NULL,NULL, 5.5,NULL,0,30,1,70,1,1,150,200,100,100,10,432,NULL,127,NULL,NULL,157,NULL,NULL,45,NULL,10,0,NULL,NULL,NULL,476,15,NULL,NULL,2,NULL,9,4000,5000,120,NULL, 
2061," HK 416 BLK 10""",2,6,53,11, 13.96,NULL,12,22,34,30,5,30,260,200,33,90,8,485,110,127,102,108,499,15,3,31,1,7,12,NULL,NULL,NULL,476,54, 2.5,12,4,NULL,9,3900,4900,70,NULL, 
2062," HK 416 BLK 14""",2,6,53,13, 13.43,NULL,11,22,34,31,6,30,290,200,33,85,8,485,110,127,102,108,499,15,3,31,1,7,11,NULL,NULL,NULL,476,59, 2.5,11,4,NULL,10,3900,4900,70,NULL, 
2063," HK 416 BLK 16""",3,6,53,15, 13.43,NULL,11,22,35,30,6,30,315,200,33,80,8,485,110,127,102,108,499,15,3,31,1,7,11,NULL,NULL,NULL,476,62, 2.5, 10.5,4,NULL,11,3900,4900,70,NULL, 
2064," HK 416 BLK 20""",3,6,53,17, 12.95,NULL,12,22,36,31,6,30,325,200,33,80,8,485,110,127,102,108,499,15,3,31,1,7,12,NULL,NULL,NULL,476,64, 2.5, 11.5,4,NULL,12,3900,4900,70,NULL, 
2065," AAC MPW ""Honey Badger""",2,6,53,10, 13.96,NULL,12,22,34,34,8,30,195,200,38,90,8,493,119,111,102,108,156,15,3,31,1,7,12,NULL,NULL,NULL,476,42, 2.5, 11.5,4,NULL,8,3800,4800,75,NULL, 
2066," 6.5 Grendel Sniper Rifle 24""",3,5,52,18, 13.43,NULL,13,22,36,40,8,26,590,200,32,75,8,494,120,127,102,108,157,16,3,31,1,10,13,NULL,NULL,NULL,476,83,3,13,5,NULL,11,4000,5000,75,NULL, 
2067," 6.5 Grendel Marksman Rifle 20""",3,6,52,18, 12.49,NULL,17,22,36,40,8,26,550,200,32,75,8,494,120,127,102,108,157,16,3,31,1,9,17,NULL,NULL,NULL,476,79, 3.5, 16.5,4,NULL,12,4000,5000,75,NULL, 
2068," 6.5 Grendel Carbine 16""",3,6,52,15, 12.95,NULL,20,22,35,40,7,26,510,200,32,80,8,494,120,127,102,108,157,16,3,31,1,9,20,NULL,NULL,NULL,476,74,4,20,4,NULL,10,3900,4900,75,NULL, 
2069, Blaser R93 LRS2 7.62,3,5,9,18, 13.43,NULL,0,22,44,48,9,5,650,200,100,85,8,322,NULL,NULL,102,108,157,NULL,NULL,27,1,15,0,NULL,1,12,476,87,NULL,NULL,5,NULL,12,4000,5000,140,NULL, 
2070, Blaser R93 LRS2 .338,3,5,25,18, 12.49,NULL,0,22,57,48,12,10,795,200,100,100,8,322,NULL,NULL,102,108,157,NULL,NULL,27,1,15,0,NULL,1,28,476,96,NULL,NULL,5,NULL,14,4000,5000,165,NULL, 
2071, PPK-12,2,3,2,11, 15.15,3,7,22,26,17,3,30,205,200,33,55,7,374,60,111,101,107,156,10,4,30,1,7,7,NULL,NULL,NULL,476,31, 3.5,6,4,NULL,9,6500,5000,70,NULL, 
2072, AK-12U 5.45,2,6,7,12, 15.15,3,7,22,29,27,6,50,325,200,50,75,7,329,21,127,102,108,499,11,4,34,1,7,7,NULL,NULL,NULL,476,60, 1.5,7,4,NULL,9,6500,5500,70,NULL, 
2073, AK-12U 7.62,2,6,10,12, 13.43,3,13,22,33,27,5,30,275,200,50,90,8,358,45,127,102,108,157,12,4,34,1,7,13,NULL,NULL,NULL,476,54, 2.5,13,4,NULL,9,6500,5500,70,NULL, 
2074, AK-12U SPC,2,6,18,12, 13.43,3,9,22,37,25,5,30,255,200,40,50,8,381,66,67,102,108,382,12,4,34,1,7,9,NULL,NULL,NULL,476,46, 2.5, 8.5,4,NULL,9,6500,5500,70,NULL, 
2075, AK-12 5.45,3,6,7,15, 14.53,3,6,22,29,30,7,50,360,200,35,70,7,447,88,127,102,108,157,11,4,34,1,7,6,NULL,NULL,NULL,476,67, 1.5,6,4,NULL,11,7000,6000,70,NULL, 
2076, AK-12 7.62,3,6,10,15, 12.95,3,13,22,34,31,6,30,305,200,50,80,8,358,45,127,102,108,157,12,4,34,1,7,13,NULL,NULL,NULL,476,59, 2.5, 12.5,4,NULL,11,7000,6000,70,NULL, 
2077, AK-12 SPC,3,6,10,15, 12.95,3,8,22,38,31,5,30,280,200,50,45,8,381,66,67,102,108,382,12,4,37,1,7,8,NULL,NULL,NULL,476,53, 2.5,8,4,NULL,11,7000,6000,70,NULL, 
2078, AK-12 12/76,5,8,5,15, 12.95,NULL,0,22,51,27,1,7,120,200,100,85,8,435,3,127,103,109,157,NULL,NULL,31,1,7,0,NULL,NULL,NULL,481,15,NULL,NULL,4,NULL,11,7000,6000,90,NULL, 
2079, RPK-12,3,7,7,19, 15.15,3,4,22,30,44,7,95,400,200,50,70,8,332,24,127,102,108,157,11,4,45,1,8,4,NULL,NULL,NULL,476,71, 1.5,4,5,NULL,12,9000,8000,70,NULL, 
2080, SVK-12,3,4,24,18, 11.3,3,18,22,46,46,7,10,655,200,100,90,7,457,98,127,102,108,157,13,3,27,1,15,18,NULL,NULL,NULL,476,75, 3.5, 17.5,4,NULL,12,7000,6000,75,NULL, 
2081, RG-6 Grenade Launcher,3,NULL,NULL,10, 7.6,NULL,0,30,NULL,75,0,6,350,200,100,40,10,406,NULL,127,NULL,NULL,157,NULL,NULL,24,1,8,0,NULL,NULL,NULL,476,NULL,NULL,NULL,NULL,NULL,15,4000,5000,40,NULL, 
2082, PP-2000 )-|,2,2,2,6, 16.55,NULL,12,22,26,19,1,30,155,200,40,50,8,462,102,111,101,107,157,NULL,3,27,1,7,12,NULL,NULL,NULL,476,14,5,11,4,NULL,13,3600,4600,75,NULL, 
2083, BAR M1918A2,3,7,46,19, 11.67,NULL,12,22,45,40,7,20,660,200,50,80,8,347,39,127,102,108,499,NULL,2,25,1,11,12,1,NULL,NULL,476,73,3, 11.5,4,NULL,16,4000,5000,75,NULL, 
2084, M26 MASS,5,8,5,9, 15.82,NULL,0,22,42,28,1,4,70,200,100,85,8,435,3,127,103,109,157,NULL,NULL,29,1,7,0,NULL,1,6,481,8,NULL,NULL,3,NULL,8,4000,5000,90,NULL, 
2085, Kel-Tec KSG,5,8,5,10, 15.82,NULL,0,22,51,29,2,7,115,200,100,85,8,435,3,127,103,109,157,NULL,NULL,84,NULL,7,0,NULL,1,10,481,17,NULL,NULL,3,NULL,10,4000,5000,90,NULL, 
2086, Kel-Tec Second Magazine,5,8,5,NULL, 15.82,NULL,0,22,51,29,2,7,115,200,100,85,8,435,3,127,103,109,157,NULL,NULL,84,NULL,7,0,NULL,1,12,481,17,NULL,NULL,3,NULL,10,4000,5000,90,NULL, 
2087, Neostead Second Magazine,5,8,5,12, 15.82,NULL,0,22,52,29,2,7,120,200,100,85,8,435,3,127,103,109,157,NULL,NULL,84,NULL,7,0,NULL,1,10,481,18,NULL,NULL,3,NULL,9,4000,5000,90,NULL, 
2088, FN Minimi 6.8 SPC,4,7,42,30, 13.43,NULL,8,22,39,49,7,160,425,200,30,75,8,494,120,127,104,110,157,NULL,4,75,1,7,8,1,NULL,NULL,476,71, 2.5, 7.5,5,NULL,15,4000,5000,75,NULL, 
2089, SSK 300 Whisper,3,4,30,16, 12.95,NULL,11,22,35,35,6,10,315,200,38,70,7,385,70,71,102,108,386,15,3,27,1,7,11,NULL,NULL,NULL,476,63, 2.5,11,4,NULL,11,3900,4900,75,NULL, 
2090, AK-74M,3,6,7,15, 14.53,NULL,7,22,29,31,6,30,355,200,46,70,7,329,21,127,102,108,157,15,3,31,1,7,7,NULL,NULL,NULL,476,65,2, 6.5,4,NULL,11,7000,6000,70,NULL, 
2350, HK 23E iii,4,7,8,31, 14.53,3,7,22,31,44,7,30,365,200,38,75,8,460,100,127,104,110,157,15,3,75,1,7,7,NULL,NULL,NULL,476,68,2,7,5,NULL,12,8000,9000,70,NULL, 
2351, Ares M4 Shrike iii,3,7,8,17, 13.96,NULL,10,22,30,30,7,30,350,200,32,75,7,337,32,127,102,108,499,NULL,3,38,1,7,10,NULL,NULL,NULL,476,66, 1.5,10,4,NULL,11,3900,4900,70,NULL, 
2352, FN Minimi iii,4,7,8,20, 14.53,NULL,6,22,31,49,7,30,370,200,30,75,8,342,34,127,104,110,157,NULL,3,70,1,7,6,1,NULL,NULL,476,69, 1.5, 5.5,5,NULL,14,4200,4700,70,NULL, 
2353, FN Minimi SPW iii,4,7,8,22, 14.53,NULL,7,22,30,50,7,30,350,200,40,65,8,342,34,127,104,110,157,NULL,3,70,1,7,7,1,NULL,NULL,476,67, 1.5,7,4,NULL,14,4000,5000,70,NULL, 
2354, CETME Ameli iii,4,7,8,33, 14.53,NULL,6,22,30,35,6,30,345,200,40,75,7,345,37,127,104,110,499,NULL,4,70,1,7,6,1,NULL,NULL,476,65, 1.5, 5.5,5,NULL,12,4000,5000,70,NULL, 
2355, HK MG43 iii,4,7,8,30, 14.53,NULL,6,22,31,49,7,30,380,200,38,75,8,483,108,127,104,110,157,NULL,4,70,1,7,6,1,NULL,NULL,476,70, 1.5, 5.5,5,NULL,12,4000,5000,70,NULL, 
2356, Browning M1919 A6 iii,4,7,46,33, 12.07,NULL,8,22,45,56,7,20,665,200,60,75,7,351,43,127,104,110,157,NULL,2,70,1,13,8,1,NULL,NULL,476,73,3, 7.5,5,NULL,18,5000,6000,75,NULL, 
2357, Rheinmetall MG3 iii,4,7,9,39, 11.67,NULL,9,22,44,56,7,20,630,200,38,85,9,492,118,NULL,104,110,157,NULL,5,70,1,13,9,1,NULL,NULL,476,73,3,9,5,NULL,16,4000,6500,75,NULL, 
2358, M60E3 iii,4,7,9,33, 12.07,NULL,10,22,44,54,7,20,630,200,46,85,8,351,43,127,104,110,157,NULL,2,70,1,13,10,1,NULL,NULL,476,74,3, 9.5,5,NULL,16,4000,5000,95,NULL, 
2359, FN MAG iii,4,7,9,33, 12.07,NULL,9,22,45,54,7,20,675,200,32,85,9,352,44,127,104,110,157,NULL,4,70,1,13,9,1,NULL,NULL,476,75,3, 8.5,5,NULL,16,4500,5000,100,NULL, 
2360, HK 21E iii,4,7,9,33, 12.07,3,11,22,43,54,7,20,625,200,38,85,9,349,41,127,104,110,157,17,3,70,1,13,11,NULL,NULL,NULL,476,73,3, 10.5,5,NULL,16,8000,9000,70,NULL, 
2361, Pecheneg iii,4,7,24,34, 11.67,NULL,12,22,47,61,8,10,700,200,46,85,9,365,53,127,104,110,157,NULL,3,75,1,12,12,1,NULL,NULL,476,76,3, 11.5,5,NULL,16,8500,9500,75,NULL, 
